iter	Logloss
0	0.6901774214
1	0.6864390383
2	0.6824736143
3	0.6794543107
4	0.6771062808
5	0.6741285095
6	0.6715874872
7	0.6683824323
8	0.6659790797
9	0.6630548779
10	0.660630673
11	0.6582775362
12	0.655994103
13	0.6542341956
14	0.6515869763
15	0.6491386418
16	0.6468463016
17	0.6452166792
18	0.6432762948
19	0.6412109507
20	0.6383368255
21	0.6363297785
22	0.6345373108
23	0.6331096928
24	0.6310842363
25	0.6294437539
26	0.628115586
27	0.6260716701
28	0.6247961786
29	0.6233407824
30	0.622118456
31	0.6206571179
32	0.6194407461
33	0.6178131192
34	0.6163918461
35	0.614223018
36	0.6130734639
37	0.6119254188
38	0.6107954114
39	0.6093454338
40	0.6081128759
41	0.6067264008
42	0.6055413019
43	0.6041991204
44	0.6024659446
45	0.6011462202
46	0.5995250032
47	0.5978543564
48	0.5968961701
49	0.5959317106
50	0.5950735317
51	0.5940819154
52	0.5928429585
53	0.5912001185
54	0.5905835805
55	0.5897975512
56	0.5886470282
57	0.5874274083
58	0.5862468633
59	0.5855954532
60	0.5842780977
61	0.5833801578
62	0.582000705
63	0.58121949
64	0.5800028879
65	0.5789651584
66	0.577890766
67	0.5768788416
68	0.5759911397
69	0.5748816129
70	0.573611121
71	0.5725381344
72	0.5707997712
73	0.5697358783
74	0.5682820814
75	0.5670957344
76	0.5660190909
77	0.5647290984
78	0.5637519103
79	0.5629515313
80	0.5621408225
81	0.5606594979
82	0.5594141526
