iter	Passed	Remaining
0	209	104401
1	244	60791
2	273	45240
3	299	37113
4	321	31829
5	342	28203
6	363	25588
7	386	23763
8	409	22357
9	434	21269
10	458	20368
11	483	19652
12	509	19102
13	536	18607
14	562	18197
15	590	17870
16	617	17533
17	644	17247
18	669	16954
19	696	16711
20	723	16502
21	748	16254
22	774	16063
23	799	15851
24	825	15687
25	852	15536
26	878	15390
27	905	15264
28	931	15126
29	957	14999
30	985	14914
31	1010	14783
32	1038	14693
33	1065	14602
34	1093	14534
35	1120	14446
36	1145	14340
37	1174	14280
38	1202	14213
39	1227	14116
40	1255	14050
41	1281	13979
42	1308	13902
43	1335	13836
44	1364	13800
45	1392	13742
46	1420	13691
47	1450	13660
48	1475	13584
49	1502	13523
50	1527	13448
51	1554	13395
52	1583	13353
53	1609	13291
54	1635	13235
55	1661	13176
56	1688	13122
57	1716	13080
58	1743	13030
59	1770	12982
60	1797	12937
61	1823	12880
62	1851	12842
63	1877	12790
64	1902	12732
65	1929	12685
66	1954	12633
67	1980	12584
68	2006	12536
69	2032	12487
70	2059	12446
71	2087	12409
72	2114	12366
73	2140	12320
74	2165	12271
75	2193	12234
76	2218	12184
77	2244	12140
78	2273	12116
79	2301	12084
80	2328	12042
81	2354	12000
82	2381	11962
